internalTaxonId,scientificName,name,language,main
219,Acinonyx jubatus,Hunting Leopard,English,false
219,Acinonyx jubatus,Chita,Spanish; Castilian,false
219,Acinonyx jubatus,Gepard,German,false
219,Acinonyx jubatus,Guépard,French,false
219,Acinonyx jubatus,Guepardo,Spanish; Castilian,false
219,Acinonyx jubatus,Cheetah,English,true
8539,Felis bieti,Chinese Alpine Steppe Cat,English,false
8539,Felis bieti,Chinese Desert Cat,English,false
8539,Felis bieti,Chinese Steppe Cat,English,false
8539,Felis bieti,Grass Cat,English,false
8539,Felis bieti,Cao Shili,Chinese,false
8539,Felis bieti,Chat de Biet,French,false
8539,Felis bieti,Gato de Biet,Spanish; Castilian,false
8539,Felis bieti,Gato del Desierto de China,Spanish; Castilian,false
8539,Felis bieti,Mo Mao,Chinese,false
8539,Felis bieti,Chinese Mountain Cat,English,true
8540,Felis chaus,Reed Cat,English,false
8540,Felis chaus,Swamp Cat,English,false
8540,Felis chaus,Chat de jungle,French,false
8540,Felis chaus,Chat des Marais,French,false
8540,Felis chaus,Gato de la Jungla,Spanish; Castilian,false
8540,Felis chaus,Gato de los Pantanos,Spanish; Castilian,false
8540,Felis chaus,Jungle Cat,English,true
8541,Felis margarita,Sand Dune Cat,English,false
8541,Felis margarita,Chat des sables,French,false
8541,Felis margarita,Gato de las Arenas,Spanish; Castilian,false
8541,Felis margarita,Gato del Sahara,Spanish; Castilian,false
8541,Felis margarita,pshaya koshka,Russian,false
8541,Felis margarita,Qit al rimal,Arabic,false
8541,Felis margarita,Sand Cat,English,true
60354712,Felis silvestris,Wildcat,English,false
60354712,Felis silvestris,Al qit,Arabic,false
60354712,Felis silvestris,Chat orné,French,false
60354712,Felis silvestris,Chat sauvage,French,false
60354712,Felis silvestris,Gato Montés,Spanish; Castilian,false
60354712,Felis silvestris,Gato Silvestre,Spanish; Castilian,false
60354712,Felis silvestris,Wild Cat,English,true
9948,Herpailurus yagouaroundi,Eyra Cat,English,false
9948,Herpailurus yagouaroundi,Gato Colorado,Spanish; Castilian,false
9948,Herpailurus yagouaroundi,Gato Moro,Spanish; Castilian,false
9948,Herpailurus yagouaroundi,Gato-mourisco,Portuguese,false
9948,Herpailurus yagouaroundi,Gato-vermelho,Portuguese,false
9948,Herpailurus yagouaroundi,Jaguarundi,Spanish; Castilian,false
9948,Herpailurus yagouaroundi,León Brenero,Spanish; Castilian,false
9948,Herpailurus yagouaroundi,Leoncillo,Spanish; Castilian,false
9948,Herpailurus yagouaroundi,Onza,Spanish; Castilian,false
9948,Herpailurus yagouaroundi,Tigrillo,Spanish; Castilian,false
9948,Herpailurus yagouaroundi,Yaguarundi,Spanish; Castilian,false
9948,Herpailurus yagouaroundi,Yaguarundí,Spanish; Castilian,false
9948,Herpailurus yagouaroundi,Jaguarundi,English,true
54012637,Leopardus tigrinus,Chat tigre du nord,French,false
54012637,Leopardus tigrinus,Gato-do-mato,Portuguese,false
54012637,Leopardus tigrinus,Gato-maracajá,Portuguese,false
54012637,Leopardus tigrinus,Gato Tigre,Spanish; Castilian,false
54012637,Leopardus tigrinus,Maracajá-í,Portuguese,false
54012637,Leopardus tigrinus,Pintadinho,Portuguese,false
54012637,Leopardus tigrinus,Tigrillo,Spanish; Castilian,false
54012637,Leopardus tigrinus,Tirica,Spanish; Castilian,false
54012637,Leopardus tigrinus,Northern Tiger Cat,English,true
11511,Leopardus wiedii,Tree Ocelot,English,false
11511,Leopardus wiedii,Caucel,Spanish; Castilian,false
11511,Leopardus wiedii,Gato Montés,Spanish; Castilian,false
11511,Leopardus wiedii,Gato Pintado,Spanish; Castilian,false
11511,Leopardus wiedii,Tigrillo,Spanish; Castilian,false
11511,Leopardus wiedii,Margay,English,true
12521,Lynx rufus,Bay Lynx,English,false
12521,Lynx rufus,Chat sauvage,French,false
12521,Lynx rufus,Gato Montés,Spanish; Castilian,false
12521,Lynx rufus,Lince,Spanish; Castilian,false
12521,Lynx rufus,Lince Rojo,Spanish; Castilian,false
12521,Lynx rufus,Lynx roux,French,false
12521,Lynx rufus,Bobcat,English,true
15310,Leopardus geoffroyi,Chat de Geoffroy,French,false
15310,Leopardus geoffroyi,Gato de Mato,Spanish; Castilian,false
15310,Leopardus geoffroyi,Gato Montés Común,Spanish; Castilian,false
15310,Leopardus geoffroyi,Geoffroy's Cat,English,true
15311,Leopardus guigna,Chilean Cat,English,false
15311,Leopardus guigna,Kodkod,English,false
15311,Leopardus guigna,Guigna,French,false
15311,Leopardus guigna,Guina,Spanish; Castilian,false
15311,Leopardus guigna,Guiña,English,true
15452,Leopardus jacobita,Andean Mountain Cat,English,false
15452,Leopardus jacobita,Mountain Cat,English,false
15452,Leopardus jacobita,Chat des Andes,French,false
15452,Leopardus jacobita,Chinchay,Spanish; Castilian,false
15452,Leopardus jacobita,Gato Andino,Spanish; Castilian,false
15452,Leopardus jacobita,Gato Lince,Spanish; Castilian,false
15452,Leopardus jacobita,Osjo,Quechua,false
15452,Leopardus jacobita,Titi,Aymara,false
15452,Leopardus jacobita,Andean Cat,English,true
15955,Panthera tigris,Bagh,Hindi,false
15955,Panthera tigris,Harimau,Indonesian,false
15955,Panthera tigris,Laohu,Chinese,false
15955,Panthera tigris,Tigr,Russian,false
15955,Panthera tigris,Tigre,French,false
15955,Panthera tigris,Tiger,English,true
18146,Prionailurus bengalensis,Chat de Chine,French,false
18146,Prionailurus bengalensis,Chat-léopard du Bengale,French,false
18146,Prionailurus bengalensis,Gato Bengalí,Spanish; Castilian,false
18146,Prionailurus bengalensis,Gato de Bengala,Spanish; Castilian,false
18146,Prionailurus bengalensis,Leopard Cat,English,true
18148,Prionailurus planiceps,Chat à tête plate,French,false
18148,Prionailurus planiceps,Gato Cabeciancho,Spanish; Castilian,false
18148,Prionailurus planiceps,Kucing Tandang,Indonesian,false
18148,Prionailurus planiceps,Flat-headed Cat,English,true
18149,Prionailurus rubiginosus,Chat-léopard de l'Inde,French,false
18149,Prionailurus rubiginosus,Chat rougeâtre,French,false
18149,Prionailurus rubiginosus,Chat rubigineux,French,false
18149,Prionailurus rubiginosus,Gato Rojizo,Spanish; Castilian,false
18149,Prionailurus rubiginosus,Gato Rubiginosa,Spanish; Castilian,false
18149,Prionailurus rubiginosus,Rusty-spotted Cat,English,true
18150,Prionailurus viverrinus,Chat Pêcheur,French,false
18150,Prionailurus viverrinus,Gato Pescador,Spanish; Castilian,false
18150,Prionailurus viverrinus,Fishing Cat,English,true
18306,Caracal aurata,Golden Cat,English,false
18306,Caracal aurata,Afrikanische Goldkatze,German,false
