internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
219,Acinonyx jubatus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Acinonyx,jubatus,,,,,"(Schreber, 1775)","<p>Taxonomy is currently under review by the IUCN SSC Cat Specialist Group.<br/><br/>Formerly included in a monophyletic group, the subfamily Acinonychinae (e.g., Wozencraft 1993), molecular evidence now clusters the Cheetah with the Puma&#160;<em>Puma concolor</em>&#160;and Jaguarundi&#160;<em>P. yagouaroundi</em>&#160;in the tribe Acinonychini, diverging some 6.9 million years ago (Johnson<em>&#160;<em><em>et al.</em></em>&#160;</em>2006, O'Brien and Johnson 2007). A close relationship between these three species is in agreement with earlier studies (Johnson and O’Brien 1997, Bininda-Emonds&#160;<em><em><em>et al.</em></em> </em>1999, Mattern and MacLennan 2000).&#160;</p><br/>Krausman and Morales (2005) list five Cheetah subspecies:&#160;<br/><br/><em>A. j. hecki</em>&#160;Hilzheimer, 1913: Northwest Africa&#160;<br/><em>A. j. fearsoni</em>&#160;(Smith, 1834): East Africa&#160;<br/><em>A. j. jubatus</em>&#160;(Schreber, 1775): Southern Africa&#160;<br/><em>A. j. soemmerringi</em>&#160;(Fitzinger, 1855): Northeast Africa&#160;<br/><em>A. j. venaticus</em>&#160;(Griffith, 1821): North Africa to central India&#160;<br/><br/>Only&#160;<em>A. j. jubatus</em>&#160;and&#160;<em>A. j. raineyii&#160;</em>have been compared using genetic analysis, and found to be extremely similar, but the subspecies distinction was still retained (O’Brien&#160;<em><em>et al.</em></em> 1987).&#160;<br/><br/>The subspecies&#160;<em>A. j. venaticus</em>, commonly called the Asiatic Cheetah, is considered by Nowell and Jackson (1996) to survive only in Iran. They place the eastern limit of its range in Arabia. However, the review by Krausman and Morales (2005) included Cheetahs from the northern Sahara in <em>venaticus</em>. The type locality of&#160;<em>A. j. venaticus</em>&#160;(=<em>Felis venatica</em>&#160;[Griffith, 1821]) is unknown (Krausman and Morales 2005). At a November 2006 meeting of the North African Region Cheetah Action Group (NARCAG), Belbachir (2007) recommended genetic studies to clarify whether the Cheetahs of Algeria (which probably has the largest Saharan Cheetah population) should be classified as&#160;<em>A. j. hecki</em>&#160;or&#160;<em>A. j. venaticus</em>. Presently&#160;<em>A. j. venaticus</em>&#160;is considered restricted to Asia.&#160;<br/><br/>The English name is derived from the Hindi Chita, meaning ""spotted one"". The generic name&#160;<em>Acinonyx</em>&#160;is a reference to its non-retractile claws (Caro 1994)."
8539,Felis bieti,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Felis,bieti,,,,,"Milne-Edwards, 1892","The taxonomy of the species remains unclear.&#160;<em>Felis bieti</em>&#160;was recently attributed species status by Kitchener and Rees (2009), based on morphology and potential sympatry with Asian Wildcat (<em>Felis silvestris ornata</em>). Genetic evidence has indicated&#160;<em>F. bieti</em>&#160;to be a subspecies of&#160;<em>Felis silvestris</em>&#160;(Driscoll <em>et al</em>. 2007), however, greater sampling and assessment of genetic materials from individuals living in the wild is urgently required to be able to draw firm conclusions. Taxonomy is currently under review by the IUCN SSC Cat Specialist Group."
8540,Felis chaus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Felis,chaus,,,,,"Schreber, 1777","Taxonomy is currently under review by the IUCN SSC Cat Specialist Group (2014). Once thought to be closely related to the lynxes, which share its characteristic traits of tufted ears, long limbs and a short tail (Sunquist and Sunquist 2002), the Jungle Cat is actually a close relative of the domestic cat.  With a wide range, a number of subspecies have been proposed (Wozencraft 2005 recognized nine), but Corbet and Hill (1992) argue that the pelage characters used by classical designators vary widely.  No modern analysis of subspeciation has been undertaken."
8541,Felis margarita,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Felis,margarita,,,,,"Loche, 1858","Taxonomy is currently under review by the IUCN SSC Cat Specialist Group (2014). Placed in the genus <em>Felis </em>according to genetic analysis (Johnson <em>et al. </em>2006, O'Brien and Johnson 2007). Four subspecies have been classically described: F. m. margarita in North Africa,<em> F. m. harrisoni </em>in Arabia,<em> F. m. thinobia</em> in Central Asia and<em> F. m. scheffeli</em> in Pakistan (Sliwa 2013, Banfield <em>et al.</em> 2014), but genetic analysis is needed to confirm subspecific partitioning, especially in light of possible large gaps in the species distribution."
60354712,Felis silvestris,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Felis,silvestris,,,,,"Schreber, 1777","There is currently no clear agreement on how to relate geographically linked variation in morphology and genetics to the taxonomy and systematics of the widely distributed Wildcat (<em>Felis silvestris</em>) (Kitchener and Rees 2009). The latest phylogeographical analyses (Driscoll <em>et al. </em>2007, 2009; Macdonald <em>et al.</em> 2010) suggest that the Wildcat consists of five subspecific groups and three traditional subspecies (Nowell and Jackson 1996, Stuart <em>et al</em>. 2013): including the recent recognition of the Southern African Wildcat (<em>F. s. cafra</em> Desmarest, 1822).<br/><br/>Based on genetic, morphological and archaeological evidence, the familiar housecat was believed to have been domesticated from the Near Eastern Wildcat (<em>F. s. lybica</em>), probably 9,000–10,000 years ago in the Fertile Crescent region (Vigne <em>et al. </em>2004, Driscoll <em>et al.</em> 2007), coinciding with the first agricultural settlements (Driscoll <em>et al.</em> 2007, Macdonald <em>et al. </em>2010). Although the domestic cat derived relatively recently from the Wildcat, in terms of biological processes and phylogeny, it can be taxonomically classified either as a subspecies (<em>F. s. catus</em>) of<em> F. silvestris </em>or as a separate species (<em>F. catus</em>) (Macdonald <em>et al.</em> 2010). Recent evidence supports the classification of domestic cats as genetically distinct from Wildcats (Driscoll <em>et al. </em>2007).<br/><br/>For the purposes of this assessment, although we recognise the potential validity of the Southern African Wildcat (<em>F. s. cafra</em>), we defer to the species level until further research can accurately delineate subspecific geographical boundaries."
9948,Herpailurus yagouaroundi,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Herpailurus,yagouaroundi,,,,,"(É. Geoffroy Saint-Hilaire, 1803)","Taxonomy is currently under review by the IUCN SSC Cat Specialist Group. &#160;Johnson <em>et al.</em> (2006) and Eizirik <em>et al.</em> (2008) placed <em>yagouaroundi</em> in the genus <em>Puma</em>. However, Agnarsson <em>et al</em>. (2010) noted that&#160;the Jaguarundi is not a sister species to the Puma. More recently Segura <em>et al</em>. (2013)&#160;looked at cranial development within the Puma clade and found that while this is similar in Cheetah and Puma, that of the Jaguarundi is quite different. Given these phylogenetic uncertainties, and these and other morphological and behavioural differences, the IUCN SSC Cat Specialist Group retains this species in <em>Herpailurus</em>."
54012637,Leopardus tigrinus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Leopardus,tigrinus,,,,,"(Schreber, 1775)","Taxonomy is currently under review by the IUCN SSC Cat Specialist Group (2016). Genetic analyses found a level of divergence between&#160;<em>L. tigrinus&#160;</em>from Costa Rica (<em>L. tigrinus oncilla</em>) and from central (<em>L. tigrinus tigrinus</em>) and southern Brazil (<em>L. guttulus</em>) comparable to that between species in the&#160;<em style=""font-family: arial, verdana, sans-serif; font-size: 12px; background-color: rgb(255, 255, 255);"">Leopardus&#160;</em>group, suggesting that these populations have been isolated, perhaps by the Amazon River, for approximately 3.7 million years.&#160;More analysis of geographic partitioning, with additional samples from other parts of the range, is needed to confirm whether this taxon should be further split into two species (Johnson <em>et al.</em> 1999, Eizirik <em>et al.</em> 2007, Trigo <em>et al.</em> 2013a).<br/><br/>There is also evidence of hybridization between<em> L. tigrinus</em> and <em>L. colocolo</em> (Johnson <em>et al.</em> 1999, Trigo <em>et al.</em> 2013a) in areas where their range overlaps."
11511,Leopardus wiedii,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Leopardus,wiedii,,,,,"(Schinz, 1821)","Taxonomy is currently under review by the IUCN SSC Cat Specialist Group. This species is genetically very diverse across its range and shows a high degree of population structure, with three distinct clusters: Central America and Mexico, northern South America and southern South America.  The demarcation between northern and southern South America was identified as the Amazon river.  In Central America, there were weaker differences between populations from the north (Mexico and Guatemala) and those from the south of this region (Eizirik <em>et al.</em> 1998)."
12521,Lynx rufus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Lynx,rufus,,,,,"(Schreber, 1777)",Taxonomy is currently under review by the IUCN SSC Cat Specialist Group (2014). Placed in <em>Lynx</em> according to genetic analysis (Johnson <em>et al.</em> 2006).
15310,Leopardus geoffroyi,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Leopardus,geoffroyi,,,,,"(d'Orbigny &amp; Gervais, 1844)","Taxonomy is currently under review by the IUCN SSC Cat Specialist Group. &#160;Included in the genus <em>Leopardus</em> by Johnson <em>et al.</em> (2006).  No genetic evidence of geographic subspecific partitioning was found in an analysis by Johnson <em>et al.</em> (1999).  A zone of hybridization was found in southern Brazil where the northern extent of <em>L. geoffroyi</em>'s range meets the southernmost extent of the range of the Oncilla, <em>L. tigrinus</em> (Eizirik <em>et al.</em> 2007)."
