sp,bm,sigma,radius,hr,DI,GenerationLength_d
Acinonyx jubatus,38.65,6582,16,1631,1616,2190
Felis chaus,6.6,539,1,11,132,1904
Felis silvestris,4.3,1425,3,76,350,2905
Leopardus colocolo,3.95,1550,4,90,380,2593
Leopardus geoffroyi,4.65,965,2,35,237,2828
Leopardus jacobita,5,1718,4,111,422,1393
Leopardus pardalis,11.65,1909,5,137,468,3012
Leopardus tigrinus,2.4,3165,8,377,777,2190
Lynx canadensis,9.65,4395,11,727,1079,3392
Lynx lynx,18.45,4395,11,727,1079,3338
Lynx pardinus,11.05,2720,7,279,668,1578
Lynx rufus,7.75,1843,5,128,452,3810
Panthera leo,145.1,3000,7,339,736,2190
Panthera onca,85.7,4204,10,665,1032,3582
Panthera pardus,41,3731,9,524,916,3401
Panthera tigris,190.5,4337,11,708,1064,2920
Panthera uncia,40.25,5867,14,1296,1440,2920
Puma concolor,44.8,4647,11,813,1141,2694
